plotcode,composition,diversity level,func.group,numgrass,numsherb,numtherb,numleg
1A01,Ant.odo|Ave.pub|Bro.hor|Poa.pra|Aju.rep|Pla.lan|Ran.rep|Tar.off|Ant.syl|Car.car|Ger.pra|Tra.pra|Lat.pra|Lot.cor|Tri.cam|Vic.cra,16,4,4,4,4,4
1A02,Alo.pra|Bro.ere|Fes.rub|Phl.pra|Car.pra|Her.sph|Ran.acr|San.off,8,2,4,0,4,0
1A03,Cyn.cri|Phl.pra|Tri.fla|Gle.hed|Pri.ver|Ver.cha|Lot.cor|Med.lup,8,3,3,3,0,2
1A04,Fes.pra|Pla.lan|Cam.pat|Ono.vic,4,4,1,1,1,1
1A05,Med.lup|Ono.vic,2,1,0,0,0,2
1A06,Alo.pra|Ant.odo|Ave.pub|Bro.hor|Hol.lan|Poa.pra|Poa.tri|Tri.fla|Ach.mil|Ant.syl|Cam.pat|Cen.jac|Ger.pra|Her.sph|Leu.vul|Pim.maj,16,2,8,0,8,0
1A07,Ran.acr|San.off,2,1,0,0,2,0
1A08,Med.var,1,1,0,0,0,1
1A09,Cyn.cri,1,1,1,0,0,0
1A10,,0,0,0,0,0,0
1A11,Ach.mil|Ant.syl|Cam.pat|Car.pra|Cir.ole|Cre.bie|Dau.car|Gal.mol|Ger.pra|Her.sph|Leu.vul|Pas.sat|Ran.acr|Rum.ace|San.off|Tra.pra,16,1,0,0,16,0
1A12,Lat.pra|Med.lup|Med.var|Ono.vic|Tri.cam|Tri.dub|Tri.hyb|Tri.pra,8,1,0,0,0,8
1A13,Lot.cor|Med.lup|Med.var|Ono.vic,4,1,0,0,0,4
1A14,Luz.cam|Tri.fla|Leo.his|Pla.lan|Ant.syl|Dau.car|Tri.cam|Tri.fra,8,4,2,2,2,2
1A15,Cre.bie,1,1,0,0,1,0
1A16,Poa.pra|Pla.lan,2,2,1,1,0,0
1A17,Alo.pra|Dau.car,2,2,1,0,1,0
1A18,Pru.vul,1,1,0,1,0,0
1A19,Arr.ela|Luz.cam|Pru.vul|Cam.pat,4,3,2,1,1,0
1A20,Aju.rep|Bel.per|Leo.aut|Leo.his|Pla.lan|Ver.cha|Ach.mil|Ger.pra|Kna.arv|Ran.acr|San.off|Lot.cor|Med.var|Ono.vic|Tri.hyb|Tri.rep,16,3,0,6,5,5
1A21,Fes.pra|Luz.cam|Ach.mil|Cre.bie,4,2,2,0,2,0
